TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
FF;2771;20_24;3
HF-F;2771;20_24;134
HF-H;2771;20_24;87
HH;2771;20_24;3
FF;2789;20_24;0
HF-F;2789;20_24;87
HF-H;2789;20_24;38
HH;2789;20_24;0
FF;2790;20_24;0
HF-F;2790;20_24;62
HF-H;2790;20_24;28
HH;2790;20_24;1
FF;2814;20_24;2
HF-F;2814;20_24;105
HF-H;2814;20_24;61
HH;2814;20_24;1
FF;2827;20_24;2
HF-F;2827;20_24;109
HF-H;2827;20_24;58
HH;2827;20_24;1
FF;2850;20_24;1
HF-F;2850;20_24;44
HF-H;2850;20_24;20
HH;2850;20_24;1
FF;2861;20_24;1
HF-F;2861;20_24;62
HF-H;2861;20_24;22
HH;2861;20_24;0
FF;2876;20_24;7
HF-F;2876;20_24;277
HF-H;2876;20_24;135
HH;2876;20_24;5
FF;3202;20_24;2
HF-F;3202;20_24;88
HF-H;3202;20_24;49
HH;3202;20_24;3
FF;3259;20_24;31
HF-F;3259;20_24;783
HF-H;3259;20_24;403
HH;3259;20_24;10
FF;3260;20_24;1
HF-F;3260;20_24;171
HF-H;3260;20_24;105
HH;3260;20_24;0
FF;3262;20_24;19
HF-F;3262;20_24;264
HF-H;3262;20_24;129
HH;3262;20_24;4
FF;3280;20_24;5
HF-F;3280;20_24;100
HF-H;3280;20_24;57
HH;3280;20_24;0
FF;4408;20_24;3
HF-F;4408;20_24;34
HF-H;4408;20_24;19
HH;4408;20_24;0
FF;4410;20_24;4
HF-F;4410;20_24;69
HF-H;4410;20_24;32
HH;4410;20_24;1
FF;4451;20_24;5
HF-F;4451;20_24;110
HF-H;4451;20_24;77
HH;4451;20_24;2
FF;4452;20_24;0
HF-F;4452;20_24;20
HF-H;4452;20_24;17
HH;4452;20_24;0
FF;4454;20_24;7
HF-F;4454;20_24;149
HF-H;4454;20_24;77
HH;4454;20_24;1
FF;4455;20_24;1
HF-F;4455;20_24;17
HF-H;4455;20_24;11
HH;4455;20_24;0
FF;4457;20_24;5
HF-F;4457;20_24;321
HF-H;4457;20_24;167
HH;4457;20_24;2
FF;4467;20_24;3
HF-F;4467;20_24;416
HF-H;4467;20_24;215
HH;4467;20_24;4
FF;4468;20_24;10
HF-F;4468;20_24;324
HF-H;4468;20_24;160
HH;4468;20_24;2
FF;4488;20_24;1
HF-F;4488;20_24;60
HF-H;4488;20_24;36
HH;4488;20_24;0
FF;5244;20_24;6
HF-F;5244;20_24;228
HF-H;5244;20_24;115
HH;5244;20_24;4
FF;5249;20_24;2
HF-F;5249;20_24;143
HF-H;5249;20_24;87
HH;5249;20_24;1
FF;5253;20_24;2
HF-F;5253;20_24;49
HF-H;5253;20_24;13
HH;5253;20_24;0
FF;5272;20_24;6
HF-F;5272;20_24;116
HF-H;5272;20_24;54
HH;5272;20_24;2
FF;5285;20_24;12
HF-F;5285;20_24;71
HF-H;5285;20_24;46
HH;5285;20_24;5
FF;5322;20_24;0
HF-F;5322;20_24;63
HF-H;5322;20_24;32
HH;5322;20_24;0
FF;5329;20_24;2
HF-F;5329;20_24;88
HF-H;5329;20_24;65
HH;5329;20_24;1
FF;5335;20_24;2
HF-F;5335;20_24;139
HF-H;5335;20_24;73
HH;5335;20_24;0
FF;5356;20_24;2
HF-F;5356;20_24;89
HF-H;5356;20_24;43
HH;5356;20_24;2
FF;7516;20_24;4
HF-F;7516;20_24;56
HF-H;7516;20_24;22
HH;7516;20_24;2
FF;7517;20_24;2
HF-F;7517;20_24;72
HF-H;7517;20_24;40
HH;7517;20_24;1
FF;7519;20_24;2
HF-F;7519;20_24;30
HF-H;7519;20_24;23
HH;7519;20_24;0
FF;7523;20_24;0
HF-F;7523;20_24;5
HF-H;7523;20_24;4
HH;7523;20_24;0
FF;7524;20_24;3
HF-F;7524;20_24;53
HF-H;7524;20_24;37
HH;7524;20_24;0
FF;7533;20_24;9
HF-F;7533;20_24;307
HF-H;7533;20_24;168
HH;7533;20_24;2
FF;7540;20_24;1
HF-F;7540;20_24;47
HF-H;7540;20_24;28
HH;7540;20_24;0
FF;7547;20_24;1
HF-F;7547;20_24;66
HF-H;7547;20_24;35
HH;7547;20_24;0
FF;7564;20_24;2
HF-F;7564;20_24;71
HF-H;7564;20_24;43
HH;7564;20_24;0
FF;7579;20_24;0
HF-F;7579;20_24;40
HF-H;7579;20_24;19
HH;7579;20_24;0
FF;7586;20_24;5
HF-F;7586;20_24;64
HF-H;7586;20_24;35
HH;7586;20_24;0
FF;7587;20_24;1
HF-F;7587;20_24;65
HF-H;7587;20_24;39
HH;7587;20_24;2
FF;7609;20_24;2
HF-F;7609;20_24;15
HF-H;7609;20_24;15
HH;7609;20_24;0
FF;7611;20_24;5
HF-F;7611;20_24;82
HF-H;7611;20_24;35
HH;7611;20_24;0
FF;7612;20_24;2
HF-F;7612;20_24;41
HF-H;7612;20_24;16
HH;7612;20_24;0
FF;7630;20_24;7
HF-F;7630;20_24;256
HF-H;7630;20_24;128
HH;7630;20_24;2
FF;7631;20_24;10
HF-F;7631;20_24;295
HF-H;7631;20_24;145
HH;7631;20_24;6
FF;7632;20_24;0
HF-F;7632;20_24;26
HF-H;7632;20_24;15
HH;7632;20_24;0
FF;7634;20_24;12
HF-F;7634;20_24;337
HF-H;7634;20_24;183
HH;7634;20_24;0
FF;7646;20_24;0
HF-F;7646;20_24;15
HF-H;7646;20_24;7
HH;7646;20_24;2
FF;7648;20_24;0
HF-F;7648;20_24;5
HF-H;7648;20_24;5
HH;7648;20_24;0
FF;7665;20_24;0
HF-F;7665;20_24;25
HF-H;7665;20_24;22
HH;7665;20_24;0
FF;7666;20_24;1
HF-F;7666;20_24;122
HF-H;7666;20_24;67
HH;7666;20_24;0
FF;7681;20_24;0
HF-F;7681;20_24;62
HF-H;7681;20_24;43
HH;7681;20_24;0
FF;7682;20_24;0
HF-F;7682;20_24;63
HF-H;7682;20_24;47
HH;7682;20_24;0
FF;8401;20_24;6
HF-F;8401;20_24;179
HF-H;8401;20_24;117
HH;8401;20_24;1
FF;8403;20_24;5
HF-F;8403;20_24;64
HF-H;8403;20_24;27
HH;8403;20_24;1
FF;8407;20_24;1
HF-F;8407;20_24;59
HF-H;8407;20_24;24
HH;8407;20_24;2
FF;8415;20_24;1
HF-F;8415;20_24;15
HF-H;8415;20_24;6
HH;8415;20_24;1
FF;8426;20_24;5
HF-F;8426;20_24;186
HF-H;8426;20_24;99
HH;8426;20_24;3
FF;8438;20_24;9
HF-F;8438;20_24;404
HF-H;8438;20_24;245
HH;8438;20_24;3
FF;8442;20_24;1
HF-F;8442;20_24;260
HF-H;8442;20_24;146
HH;8442;20_24;1
FF;8443;20_24;1
HF-F;8443;20_24;45
HF-H;8443;20_24;17
HH;8443;20_24;0
FF;8463;20_24;3
HF-F;8463;20_24;106
HF-H;8463;20_24;75
HH;8463;20_24;1
FF;8469;20_24;3
HF-F;8469;20_24;702
HF-H;8469;20_24;392
HH;8469;20_24;3
FF;8473;20_24;2
HF-F;8473;20_24;121
HF-H;8473;20_24;65
HH;8473;20_24;0
FF;8474;20_24;3
HF-F;8474;20_24;232
HF-H;8474;20_24;99
HH;8474;20_24;0
FF;9304;20_24;3
HF-F;9304;20_24;32
HF-H;9304;20_24;19
HH;9304;20_24;1
FF;9305;20_24;1
HF-F;9305;20_24;18
HF-H;9305;20_24;12
HH;9305;20_24;0
FF;9306;20_24;4
HF-F;9306;20_24;252
HF-H;9306;20_24;118
HH;9306;20_24;2
FF;9313;20_24;13
HF-F;9313;20_24;689
HF-H;9313;20_24;323
HH;9313;20_24;4
FF;9383;20_24;7
HF-F;9383;20_24;241
HF-H;9383;20_24;115
HH;9383;20_24;0
FF;9384;20_24;5
HF-F;9384;20_24;229
HF-H;9384;20_24;120
HH;9384;20_24;1
FF;942A;20_24;0
HF-F;942A;20_24;17
HF-H;942A;20_24;10
HH;942A;20_24;0
FF;942B;20_24;0
HF-F;942B;20_24;31
HF-H;942B;20_24;14
HH;942B;20_24;0
FF;971;20_24;0
HF-F;971;20_24;48
HF-H;971;20_24;24
HH;971;20_24;0
FF;972;20_24;1
HF-F;972;20_24;54
HF-H;972;20_24;24
HH;972;20_24;0
FF;973;20_24;0
HF-F;973;20_24;61
HF-H;973;20_24;31
HH;973;20_24;0
FF;974;20_24;5
HF-F;974;20_24;260
HF-H;974;20_24;130
HH;974;20_24;2
FF;976;20_24;0
HF-F;976;20_24;67
HF-H;976;20_24;33
HH;976;20_24;0
FF;1175;25_29;24
HF-F;1175;25_29;1930
HF-H;1175;25_29;1404
HH;1175;25_29;67
FF;1177;25_29;22
HF-F;1177;25_29;1101
HF-H;1177;25_29;878
HH;1177;25_29;10
FF;1178;25_29;16
HF-F;1178;25_29;1215
HF-H;1178;25_29;956
HH;1178;25_29;4
FF;1191;25_29;25
HF-F;1191;25_29;1026
HF-H;1191;25_29;835
HH;1191;25_29;11
FF;1192;25_29;21
HF-F;1192;25_29;1625
HF-H;1192;25_29;1223
HH;1192;25_29;15
FF;1193;25_29;15
HF-F;1193;25_29;1545
HF-H;1193;25_29;1305
HH;1193;25_29;2
FF;1194;25_29;17
HF-F;1194;25_29;1280
HF-H;1194;25_29;1033
HH;1194;25_29;12
FF;1195;25_29;12
HF-F;1195;25_29;1221
HF-H;1195;25_29;1042
HH;1195;25_29;4
FF;2418;25_29;3
HF-F;2418;25_29;153
HF-H;2418;25_29;130
HH;2418;25_29;0
FF;2428;25_29;3
HF-F;2428;25_29;256
HF-H;2428;25_29;214
HH;2428;25_29;0
FF;2436;25_29;4
HF-F;2436;25_29;103
HF-H;2436;25_29;67
HH;2436;25_29;0
FF;2437;25_29;17
HF-F;2437;25_29;353
HF-H;2437;25_29;288
HH;2437;25_29;6
FF;2441;25_29;3
HF-F;2441;25_29;214
HF-H;2441;25_29;176
HH;2441;25_29;1
FF;2445;25_29;15
HF-F;2445;25_29;465
HF-H;2445;25_29;397
HH;2445;25_29;4
FF;2721;25_29;3
HF-F;2721;25_29;318
HF-H;2721;25_29;278
HH;2721;25_29;5
FF;2725;25_29;10
HF-F;2725;25_29;383
HF-H;2725;25_29;310
HH;2725;25_29;8
FF;2739;25_29;6
HF-F;2739;25_29;152
HF-H;2739;25_29;132
HH;2739;25_29;4
FF;2758;25_29;2
HF-F;2758;25_29;101
HF-H;2758;25_29;69
HH;2758;25_29;5
FF;2770;25_29;11
HF-F;2770;25_29;150
HF-H;2770;25_29;97
HH;2770;25_29;3
FF;2771;25_29;12
HF-F;2771;25_29;355
HF-H;2771;25_29;265
HH;2771;25_29;4
FF;2789;25_29;7
HF-F;2789;25_29;205
HF-H;2789;25_29;173
HH;2789;25_29;1
FF;2790;25_29;5
HF-F;2790;25_29;107
HF-H;2790;25_29;91
HH;2790;25_29;1
FF;2814;25_29;26
HF-F;2814;25_29;481
HF-H;2814;25_29;339
HH;2814;25_29;11
FF;2827;25_29;18
HF-F;2827;25_29;384
HF-H;2827;25_29;312
HH;2827;25_29;3
FF;2850;25_29;10
HF-F;2850;25_29;306
HF-H;2850;25_29;209
HH;2850;25_29;11
FF;2861;25_29;12
HF-F;2861;25_29;159
HF-H;2861;25_29;135
HH;2861;25_29;8
FF;2876;25_29;26
HF-F;2876;25_29;817
HF-H;2876;25_29;676
HH;2876;25_29;14
FF;3202;25_29;13
HF-F;3202;25_29;296
HF-H;3202;25_29;234
HH;3202;25_29;1
FF;3259;25_29;74
HF-F;3259;25_29;2099
HF-H;3259;25_29;1731
HH;3259;25_29;29
FF;3260;25_29;17
HF-F;3260;25_29;519
HF-H;3260;25_29;399
HH;3260;25_29;3
FF;3262;25_29;72
HF-F;3262;25_29;981
HF-H;3262;25_29;750
HH;3262;25_29;21
FF;3280;25_29;15
HF-F;3280;25_29;301
HF-H;3280;25_29;239
HH;3280;25_29;5
FF;4408;25_29;14
HF-F;4408;25_29;150
HF-H;4408;25_29;123
HH;4408;25_29;1
FF;4410;25_29;7
HF-F;4410;25_29;183
HF-H;4410;25_29;167
HH;4410;25_29;2
FF;4451;25_29;8
HF-F;4451;25_29;373
HF-H;4451;25_29;299
HH;4451;25_29;3
FF;4452;25_29;2
HF-F;4452;25_29;96
HF-H;4452;25_29;57
HH;4452;25_29;1
FF;4454;25_29;23
HF-F;4454;25_29;480
HF-H;4454;25_29;366
HH;4454;25_29;5
FF;4455;25_29;5
HF-F;4455;25_29;114
HF-H;4455;25_29;67
HH;4455;25_29;2
FF;4457;25_29;28
HF-F;4457;25_29;768
HF-H;4457;25_29;651
HH;4457;25_29;11
FF;4467;25_29;12
HF-F;4467;25_29;912
HF-H;4467;25_29;813
HH;4467;25_29;4
FF;4468;25_29;11
HF-F;4468;25_29;563
HF-H;4468;25_29;561
HH;4468;25_29;5
FF;4488;25_29;6
HF-F;4488;25_29;203
HF-H;4488;25_29;152
HH;4488;25_29;1
FF;5244;25_29;40
HF-F;5244;25_29;874
HF-H;5244;25_29;659
HH;5244;25_29;21
FF;5249;25_29;24
HF-F;5249;25_29;570
HF-H;5249;25_29;454
HH;5249;25_29;6
FF;5253;25_29;12
HF-F;5253;25_29;165
HF-H;5253;25_29;141
HH;5253;25_29;0
FF;5272;25_29;21
HF-F;5272;25_29;325
HF-H;5272;25_29;268
HH;5272;25_29;4
FF;5285;25_29;25
HF-F;5285;25_29;399
HF-H;5285;25_29;288
HH;5285;25_29;8
FF;5322;25_29;12
HF-F;5322;25_29;313
HF-H;5322;25_29;229
HH;5322;25_29;3
FF;5329;25_29;31
HF-F;5329;25_29;428
HF-H;5329;25_29;314
HH;5329;25_29;4
FF;5335;25_29;25
HF-F;5335;25_29;617
HF-H;5335;25_29;464
HH;5335;25_29;8
FF;5356;25_29;20
HF-F;5356;25_29;448
HF-H;5356;25_29;316
HH;5356;25_29;7
FF;7516;25_29;11
HF-F;7516;25_29;174
HF-H;7516;25_29;135
HH;7516;25_29;3
FF;7517;25_29;19
HF-F;7517;25_29;319
HF-H;7517;25_29;228
HH;7517;25_29;7
FF;7519;25_29;8
HF-F;7519;25_29;116
HF-H;7519;25_29;89
HH;7519;25_29;4
FF;7523;25_29;0
HF-F;7523;25_29;56
HF-H;7523;25_29;35
HH;7523;25_29;1
FF;7524;25_29;5
HF-F;7524;25_29;188
HF-H;7524;25_29;136
HH;7524;25_29;2
FF;7533;25_29;54
HF-F;7533;25_29;923
HF-H;7533;25_29;767
HH;7533;25_29;12
FF;7540;25_29;11
HF-F;7540;25_29;195
HF-H;7540;25_29;155
HH;7540;25_29;2
FF;7547;25_29;10
HF-F;7547;25_29;179
HF-H;7547;25_29;140
HH;7547;25_29;1
FF;7564;25_29;10
HF-F;7564;25_29;317
HF-H;7564;25_29;221
HH;7564;25_29;12
FF;7579;25_29;6
HF-F;7579;25_29;157
HF-H;7579;25_29;122
HH;7579;25_29;0
FF;7586;25_29;12
HF-F;7586;25_29;207
HF-H;7586;25_29;155
HH;7586;25_29;6
FF;7587;25_29;5
HF-F;7587;25_29;169
HF-H;7587;25_29;131
HH;7587;25_29;9
FF;7609;25_29;2
HF-F;7609;25_29;76
HF-H;7609;25_29;46
HH;7609;25_29;1
FF;7611;25_29;8
HF-F;7611;25_29;209
HF-H;7611;25_29;172
HH;7611;25_29;5
FF;7612;25_29;4
HF-F;7612;25_29;147
HF-H;7612;25_29;106
HH;7612;25_29;0
FF;7630;25_29;13
HF-F;7630;25_29;500
