TYPMAR2;REGDEP_MAR;MMAR;NBMAR
FF;4468;01;3
HF;4468;01;102
HH;4468;01;0
FF;4488;01;0
HF;4488;01;23
HH;4488;01;0
FF;5244;01;1
HF;5244;01;128
HH;5244;01;2
FF;5249;01;1
HF;5249;01;72
HH;5249;01;0
FF;5253;01;1
HF;5253;01;11
HH;5253;01;0
FF;5272;01;3
HF;5272;01;40
HH;5272;01;0
FF;5285;01;0
HF;5285;01;46
HH;5285;01;0
FF;5322;01;1
HF;5322;01;38
HH;5322;01;1
FF;5329;01;8
HF;5329;01;77
HH;5329;01;1
FF;5335;01;2
HF;5335;01;61
HH;5335;01;3
FF;5356;01;2
HF;5356;01;41
HH;5356;01;1
FF;7516;01;2
HF;7516;01;26
HH;7516;01;1
FF;7517;01;2
HF;7517;01;42
HH;7517;01;2
FF;7519;01;0
HF;7519;01;18
HH;7519;01;1
FF;7523;01;0
HF;7523;01;4
HH;7523;01;0
FF;7524;01;0
HF;7524;01;23
HH;7524;01;3
FF;7533;01;3
HF;7533;01;173
HH;7533;01;3
FF;7540;01;1
HF;7540;01;24
HH;7540;01;0
FF;7547;01;0
HF;7547;01;28
HH;7547;01;0
FF;7564;01;1
HF;7564;01;55
HH;7564;01;2
FF;7579;01;2
HF;7579;01;12
HH;7579;01;0
FF;7586;01;0
HF;7586;01;31
HH;7586;01;1
FF;7587;01;1
HF;7587;01;31
HH;7587;01;1
FF;7609;01;0
HF;7609;01;12
HH;7609;01;0
FF;7611;01;1
HF;7611;01;35
HH;7611;01;0
FF;7612;01;0
HF;7612;01;14
HH;7612;01;0
FF;7630;01;0
HF;7630;01;80
HH;7630;01;0
FF;7631;01;6
HF;7631;01;152
HH;7631;01;3
FF;7632;01;1
HF;7632;01;20
HH;7632;01;1
FF;7634;01;2
HF;7634;01;131
HH;7634;01;5
FF;7646;01;1
HF;7646;01;9
HH;7646;01;0
FF;7648;01;0
HF;7648;01;6
HH;7648;01;0
FF;7665;01;0
HF;7665;01;14
HH;7665;01;2
FF;7666;01;0
HF;7666;01;39
HH;7666;01;1
FF;7681;01;0
HF;7681;01;21
HH;7681;01;0
FF;7682;01;0
HF;7682;01;25
HH;7682;01;0
FF;8401;01;1
HF;8401;01;67
HH;8401;01;0
FF;8403;01;0
HF;8403;01;26
HH;8403;01;0
FF;8407;01;0
HF;8407;01;23
HH;8407;01;0
FF;8415;01;0
HF;8415;01;4
HH;8415;01;0
FF;8426;01;1
HF;8426;01;43
HH;8426;01;1
FF;8438;01;2
HF;8438;01;117
HH;8438;01;1
FF;8442;01;1
HF;8442;01;70
HH;8442;01;2
FF;8443;01;0
HF;8443;01;15
HH;8443;01;0
FF;8463;01;2
HF;8463;01;47
HH;8463;01;0
FF;8469;01;4
HF;8469;01;212
HH;8469;01;5
FF;8473;01;1
HF;8473;01;45
HH;8473;01;0
FF;8474;01;2
HF;8474;01;109
HH;8474;01;2
FF;9304;01;0
HF;9304;01;12
HH;9304;01;1
FF;9305;01;0
HF;9305;01;19
HH;9305;01;0
FF;9306;01;2
HF;9306;01;136
HH;9306;01;2
FF;9313;01;4
HF;9313;01;251
HH;9313;01;3
FF;9383;01;2
HF;9383;01;119
HH;9383;01;3
FF;9384;01;0
HF;9384;01;58
HH;9384;01;1
FF;942A;01;0
HF;942A;01;10
HH;942A;01;0
FF;942B;01;1
HF;942B;01;16
HH;942B;01;0
FF;971;01;3
HF;971;01;71
HH;971;01;0
FF;972;01;0
HF;972;01;39
HH;972;01;0
FF;973;01;0
HF;973;01;41
HH;973;01;0
FF;974;01;2
HF;974;01;178
HH;974;01;1
FF;976;01;0
HF;976;01;36
HH;976;01;0
FF;1175;02;12
HF;1175;02;380
HH;1175;02;27
FF;1177;02;4
HF;1177;02;178
HH;1177;02;2
FF;1178;02;3
HF;1178;02;221
HH;1178;02;1
FF;1191;02;5
HF;1191;02;200
HH;1191;02;0
FF;1192;02;6
HF;1192;02;269
HH;1192;02;2
FF;1193;02;4
HF;1193;02;320
HH;1193;02;2
FF;1194;02;3
HF;1194;02;221
HH;1194;02;6
FF;1195;02;2
HF;1195;02;211
HH;1195;02;1
FF;2418;02;0
HF;2418;02;26
HH;2418;02;0
FF;2428;02;0
HF;2428;02;47
HH;2428;02;0
FF;2436;02;0
HF;2436;02;21
HH;2436;02;0
FF;2437;02;0
HF;2437;02;56
HH;2437;02;1
FF;2441;02;1
HF;2441;02;29
HH;2441;02;0
FF;2445;02;0
HF;2445;02;70
HH;2445;02;0
FF;2721;02;2
HF;2721;02;57
HH;2721;02;1
FF;2725;02;1
HF;2725;02;60
HH;2725;02;1
FF;2739;02;0
HF;2739;02;15
HH;2739;02;0
FF;2758;02;0
HF;2758;02;18
HH;2758;02;0
FF;2770;02;0
HF;2770;02;18
HH;2770;02;0
FF;2771;02;1
HF;2771;02;56
HH;2771;02;0
FF;2789;02;0
HF;2789;02;42
HH;2789;02;0
FF;2790;02;0
HF;2790;02;19
HH;2790;02;0
FF;2814;02;0
HF;2814;02;58
HH;2814;02;3
FF;2827;02;0
HF;2827;02;60
HH;2827;02;1
FF;2850;02;0
HF;2850;02;32
HH;2850;02;0
FF;2861;02;0
HF;2861;02;15
HH;2861;02;0
FF;2876;02;2
HF;2876;02;128
HH;2876;02;3
FF;3202;02;0
HF;3202;02;52
HH;3202;02;1
FF;3259;02;9
HF;3259;02;290
HH;3259;02;2
FF;3260;02;0
HF;3260;02;80
HH;3260;02;2
FF;3262;02;5
HF;3262;02;124
HH;3262;02;2
FF;3280;02;0
HF;3280;02;33
HH;3280;02;0
FF;4408;02;0
HF;4408;02;19
HH;4408;02;1
FF;4410;02;0
HF;4410;02;40
HH;4410;02;1
FF;4451;02;0
HF;4451;02;69
HH;4451;02;1
FF;4452;02;1
HF;4452;02;11
HH;4452;02;0
FF;4454;02;0
HF;4454;02;74
HH;4454;02;3
FF;4455;02;0
HF;4455;02;11
HH;4455;02;0
FF;4457;02;2
HF;4457;02;143
HH;4457;02;0
FF;4467;02;4
HF;4467;02;143
HH;4467;02;0
FF;4468;02;1
HF;4468;02;96
HH;4468;02;2
FF;4488;02;1
HF;4488;02;27
HH;4488;02;2
FF;5244;02;5
HF;5244;02;146
HH;5244;02;1
FF;5249;02;0
HF;5249;02;80
HH;5249;02;0
FF;5253;02;1
HF;5253;02;17
HH;5253;02;0
FF;5272;02;1
HF;5272;02;50
HH;5272;02;2
FF;5285;02;1
HF;5285;02;56
HH;5285;02;1
FF;5322;02;1
HF;5322;02;54
HH;5322;02;0
FF;5329;02;3
HF;5329;02;102
HH;5329;02;0
FF;5335;02;2
HF;5335;02;100
HH;5335;02;2
FF;5356;02;1
HF;5356;02;60
HH;5356;02;0
FF;7516;02;1
HF;7516;02;32
HH;7516;02;2
FF;7517;02;3
HF;7517;02;58
HH;7517;02;0
FF;7519;02;1
HF;7519;02;13
HH;7519;02;2
FF;7523;02;0
HF;7523;02;12
HH;7523;02;0
FF;7524;02;0
HF;7524;02;26
HH;7524;02;1
FF;7533;02;3
HF;7533;02;175
HH;7533;02;2
FF;7540;02;0
HF;7540;02;36
HH;7540;02;2
FF;7547;02;0
HF;7547;02;42
HH;7547;02;0
FF;7564;02;0
HF;7564;02;58
HH;7564;02;1
FF;7579;02;0
HF;7579;02;25
HH;7579;02;0
FF;7586;02;0
HF;7586;02;30
HH;7586;02;0
FF;7587;02;2
HF;7587;02;31
HH;7587;02;1
FF;7609;02;1
HF;7609;02;8
HH;7609;02;1
FF;7611;02;1
HF;7611;02;33
HH;7611;02;2
FF;7612;02;4
HF;7612;02;20
HH;7612;02;2
FF;7630;02;4
HF;7630;02;86
HH;7630;02;3
FF;7631;02;10
HF;7631;02;165
HH;7631;02;3
FF;7632;02;1
HF;7632;02;18
HH;7632;02;0
FF;7634;02;5
HF;7634;02;128
HH;7634;02;1
FF;7646;02;0
HF;7646;02;28
HH;7646;02;1
FF;7648;02;1
HF;7648;02;5
HH;7648;02;0
FF;7665;02;1
HF;7665;02;19
HH;7665;02;0
FF;7666;02;3
HF;7666;02;54
HH;7666;02;2
FF;7681;02;2
HF;7681;02;24
HH;7681;02;1
FF;7682;02;1
HF;7682;02;26
HH;7682;02;0
FF;8401;02;1
HF;8401;02;62
HH;8401;02;0
FF;8403;02;0
HF;8403;02;21
HH;8403;02;0
FF;8407;02;1
HF;8407;02;35
HH;8407;02;1
FF;8415;02;0
HF;8415;02;6
HH;8415;02;0
FF;8426;02;3
HF;8426;02;66
HH;8426;02;2
FF;8438;02;2
HF;8438;02;129
HH;8438;02;1
FF;8442;02;1
HF;8442;02;83
HH;8442;02;3
FF;8443;02;0
HF;8443;02;17
HH;8443;02;0
FF;8463;02;2
HF;8463;02;68
HH;8463;02;0
FF;8469;02;3
HF;8469;02;265
HH;8469;02;2
FF;8473;02;0
HF;8473;02;38
HH;8473;02;1
FF;8474;02;3
HF;8474;02;114
HH;8474;02;0
FF;9304;02;0
HF;9304;02;22
HH;9304;02;0
FF;9305;02;1
HF;9305;02;13
HH;9305;02;0
FF;9306;02;6
HF;9306;02;140
HH;9306;02;6
FF;9313;02;8
HF;9313;02;241
HH;9313;02;1
FF;9383;02;2
HF;9383;02;143
HH;9383;02;1
FF;9384;02;1
HF;9384;02;67
HH;9384;02;1
FF;942A;02;1
HF;942A;02;17
HH;942A;02;0
FF;942B;02;0
HF;942B;02;19
HH;942B;02;0
FF;971;02;0
HF;971;02;56
HH;971;02;0
FF;972;02;0
HF;972;02;49
HH;972;02;0
FF;973;02;0
HF;973;02;50
HH;973;02;0
FF;974;02;2
HF;974;02;148
HH;974;02;1
FF;976;02;0
HF;976;02;1
HH;976;02;0
FF;1175;03;14
HF;1175;03;465
HH;1175;03;22
FF;1177;03;7
HF;1177;03;203
HH;1177;03;7
FF;1178;03;4
HF;1178;03;213
HH;1178;03;3
FF;1191;03;1
HF;1191;03;199
HH;1191;03;2
FF;1192;03;4
HF;1192;03;281
HH;1192;03;4
FF;1193;03;2
HF;1193;03;359
HH;1193;03;4
FF;1194;03;2
HF;1194;03;270
HH;1194;03;3
FF;1195;03;1
HF;1195;03;272
HH;1195;03;0
FF;2418;03;0
HF;2418;03;33
HH;2418;03;0
FF;2428;03;0
HF;2428;03;44
HH;2428;03;0
FF;2436;03;0
HF;2436;03;15
HH;2436;03;2
FF;2437;03;3
HF;2437;03;83
HH;2437;03;0
FF;2441;03;0
HF;2441;03;32
HH;2441;03;0
FF;2445;03;0
HF;2445;03;70
HH;2445;03;0
FF;2721;03;0
HF;2721;03;52
HH;2721;03;0
FF;2725;03;2
HF;2725;03;71
HH;2725;03;1
FF;2739;03;0
HF;2739;03;39
HH;2739;03;0
FF;2758;03;0
HF;2758;03;24
HH;2758;03;0
FF;2770;03;1
HF;2770;03;28
HH;2770;03;1
FF;2771;03;0
HF;2771;03;57
HH;2771;03;1
FF;2789;03;1
HF;2789;03;41
HH;2789;03;0
FF;2790;03;0
HF;2790;03;14
HH;2790;03;0
FF;2814;03;0
HF;2814;03;63
HH;2814;03;3
FF;2827;03;0
HF;2827;03;53
HH;2827;03;1
FF;2850;03;0
HF;2850;03;32
HH;2850;03;0
FF;2861;03;0
HF;2861;03;33
HH;2861;03;0
FF;2876;03;3
HF;2876;03;143
HH;2876;03;2
FF;3202;03;0
HF;3202;03;42
HH;3202;03;1
FF;3259;03;3
HF;3259;03;322
HH;3259;03;7
FF;3260;03;2
HF;3260;03;92
HH;3260;03;0
FF;3262;03;4
HF;3262;03;123
HH;3262;03;2
FF;3280;03;1
HF;3280;03;57
HH;3280;03;0
FF;4408;03;0
HF;4408;03;26
HH;4408;03;1
FF;4410;03;0
HF;4410;03;29
HH;4410;03;1
FF;4451;03;0
HF;4451;03;59
HH;4451;03;3
FF;4452;03;1
HF;4452;03;14
HH;4452;03;0
FF;4454;03;3
HF;4454;03;85
HH;4454;03;1
FF;4455;03;0
HF;4455;03;13
HH;4455;03;0
FF;4457;03;0
HF;4457;03;138
HH;4457;03;1
FF;4467;03;1
HF;4467;03;165
HH;4467;03;3
FF;4468;03;1
HF;4468;03;138
HH;4468;03;0
FF;4488;03;0
HF;4488;03;26
HH;4488;03;0
FF;5244;03;7
HF;5244;03;132
HH;5244;03;5
FF;5249;03;3
HF;5249;03;83
HH;5249;03;2
FF;5253;03;0
HF;5253;03;26
HH;5253;03;0
FF;5272;03;1
HF;5272;03;59
HH;5272;03;2
FF;5285;03;2
HF;5285;03;77
HH;5285;03;1
FF;5322;03;1
HF;5322;03;50
HH;5322;03;0
FF;5329;03;2
HF;5329;03;94
HH;5329;03;0
FF;5335;03;4
HF;5335;03;89
HH;5335;03;1
FF;5356;03;3
HF;5356;03;74
HH;5356;03;1
FF;7516;03;0
HF;7516;03;22
HH;7516;03;1
FF;7517;03;1
HF;7517;03;59
HH;7517;03;1
FF;7519;03;1
HF;7519;03;20
HH;7519;03;0
FF;7523;03;0
HF;7523;03;10
HH;7523;03;0
FF;7524;03;0
HF;7524;03;53
HH;7524;03;1
FF;7533;03;4
HF;7533;03;194
HH;7533;03;6
FF;7540;03;2
HF;7540;03;41
HH;7540;03;0
FF;7547;03;2
HF;7547;03;26
HH;7547;03;1
FF;7564;03;2
HF;7564;03;61
HH;7564;03;1
FF;7579;03;1
HF;7579;03;31
HH;7579;03;0
FF;7586;03;1
HF;7586;03;44
HH;7586;03;2
FF;7587;03;0
HF;7587;03;32
HH;7587;03;0
FF;7609;03;0
HF;7609;03;22
HH;7609;03;0
FF;7611;03;2
HF;7611;03;35
HH;7611;03;0
FF;7612;03;0
HF;7612;03;37
HH;7612;03;0
FF;7630;03;1
HF;7630;03;106
HH;7630;03;4
FF;7631;03;5
HF;7631;03;197
HH;7631;03;4
FF;7632;03;1
HF;7632;03;14
HH;7632;03;0
FF;7634;03;8
HF;7634;03;184
HH;7634;03;3
FF;7646;03;0
HF;7646;03;9
HH;7646;03;0
FF;7648;03;0
HF;7648;03;5
HH;7648;03;0
FF;7665;03;0
HF;7665;03;17
HH;7665;03;0
FF;7666;03;0
HF;7666;03;49
HH;7666;03;3
FF;7681;03;1
HF;7681;03;32
HH;7681;03;0
FF;7682;03;0
HF;7682;03;37
HH;7682;03;0
FF;8401;03;2
HF;8401;03;86
HH;8401;03;0
FF;8403;03;1
HF;8403;03;40
HH;8403;03;0
FF;8407;03;2
HF;8407;03;39
HH;8407;03;0
FF;8415;03;0
HF;8415;03;11
HH;8415;03;0
FF;8426;03;1
HF;8426;03;94
HH;8426;03;0
FF;8438;03;2
HF;8438;03;163
HH;8438;03;2
FF;8442;03;1
HF;8442;03;89
HH;8442;03;1
FF;8443;03;0
HF;8443;03;23
HH;8443;03;1
FF;8463;03;0
HF;8463;03;62
HH;8463;03;3
FF;8469;03;7
HF;8469;03;323
HH;8469;03;7
FF;8473;03;1
HF;8473;03;72
HH;8473;03;0
FF;8474;03;4
HF;8474;03;130
HH;8474;03;1
FF;9304;03;0
HF;9304;03;16
HH;9304;03;2
FF;9305;03;0
HF;9305;03;15
HH;9305;03;0
FF;9306;03;1
HF;9306;03;130
HH;9306;03;4
FF;9313;03;3
HF;9313;03;329
HH;9313;03;3
FF;9383;03;4
HF;9383;03;150
HH;9383;03;1
FF;9384;03;0
HF;9384;03;88
HH;9384;03;1
FF;942A;03;0
HF;942A;03;24
HH;942A;03;1
FF;942B;03;0
HF;942B;03;18
HH;942B;03;1
FF;971;03;0
HF;971;03;35
HH;971;03;1
FF;972;03;0
HF;972;03;26
HH;972;03;0
FF;973;03;1
HF;973;03;34
HH;973;03;0
FF;974;03;2
HF;974;03;114
HH;974;03;0
FF;976;03;0
HF;976;03;7
HH;976;03;0
FF;1175;04;14
HF;1175;04;490
HH;1175;04;33
FF;1177;04;5
HF;1177;04;276
HH;1177;04;0
FF;1178;04;3
HF;1178;04;263
HH;1178;04;1
FF;1191;04;4
HF;1191;04;244
HH;1191;04;3
FF;1192;04;3
HF;1192;04;343
HH;1192;04;12
FF;1193;04;2
HF;1193;04;297
HH;1193;04;3
FF;1194;04;2
HF;1194;04;283
HH;1194;04;8
FF;1195;04;3
HF;1195;04;266
HH;1195;04;2
FF;2418;04;1
HF;2418;04;39
HH;2418;04;0
FF;2428;04;0
HF;2428;04;63
HH;2428;04;1
FF;2436;04;1
HF;2436;04;23
HH;2436;04;0
FF;2437;04;3
HF;2437;04;113
HH;2437;04;3
FF;2441;04;0
HF;2441;04;55
HH;2441;04;2
FF;2445;04;3
HF;2445;04;124
HH;2445;04;0
FF;2721;04;0
HF;2721;04;77
HH;2721;04;2
FF;2725;04;2
HF;2725;04;84
HH;2725;04;1
FF;2739;04;0
HF;2739;04;37
HH;2739;04;0
FF;2758;04;0
HF;2758;04;19
HH;2758;04;1
FF;2770;04;0
HF;2770;04;25
HH;2770;04;0
FF;2771;04;2
HF;2771;04;73
HH;2771;04;0
FF;2789;04;2
HF;2789;04;46
HH;2789;04;0
FF;2790;04;0
HF;2790;04;28
HH;2790;04;1
FF;2814;04;3
HF;2814;04;135
HH;2814;04;1
FF;2827;04;3
HF;2827;04;90
HH;2827;04;1
FF;2850;04;0
HF;2850;04;68
HH;2850;04;1
FF;2861;04;0
HF;2861;04;32
HH;2861;04;2
FF;2876;04;5
HF;2876;04;211
HH;2876;04;1
FF;3202;04;2
HF;3202;04;55
HH;3202;04;1
FF;3259;04;9
HF;3259;04;397
HH;3259;04;4
FF;3260;04;2
HF;3260;04;95
HH;3260;04;1
FF;3262;04;5
HF;3262;04;162
HH;3262;04;7
FF;3280;04;1
HF;3280;04;65
HH;3280;04;0
FF;4408;04;0
HF;4408;04;29
HH;4408;04;0
FF;4410;04;0
HF;4410;04;48
HH;4410;04;1
FF;4451;04;1
HF;4451;04;72
HH;4451;04;0
FF;4452;04;0
HF;4452;04;19
HH;4452;04;1
FF;4454;04;0
HF;4454;04;115
HH;4454;04;4
FF;4455;04;0
HF;4455;04;18
HH;4455;04;0
FF;4457;04;3
HF;4457;04;166
HH;4457;04;1
FF;4467;04;6
HF;4467;04;199
HH;4467;04;3
FF;4468;04;2
HF;4468;04;118
HH;4468;04;0
FF;4488;04;0
HF;4488;04;53
HH;4488;04;0
FF;5244;04;4
HF;5244;04;263
HH;5244;04;4
FF;5249;04;3
HF;5249;04;130
HH;5249;04;2
FF;5253;04;0
HF;5253;04;46
HH;5253;04;0
FF;5272;04;3
HF;5272;04;68
HH;5272;04;1
FF;5285;04;2
HF;5285;04;99
HH;5285;04;1
FF;5322;04;2
HF;5322;04;76
HH;5322;04;1
FF;5329;04;3
HF;5329;04;136
HH;5329;04;4
FF;5335;04;4
HF;5335;04;178
HH;5335;04;1
FF;5356;04;2
HF;5356;04;112
HH;5356;04;2
FF;7516;04;0
HF;7516;04;56
HH;7516;04;0
FF;7517;04;4
HF;7517;04;86
HH;7517;04;1
FF;7519;04;0
HF;7519;04;36
HH;7519;04;0
FF;7523;04;1
HF;7523;04;8
HH;7523;04;0
FF;7524;04;1
HF;7524;04;57
HH;7524;04;0
FF;7533;04;6
HF;7533;04;285
HH;7533;04;7
FF;7540;04;2
HF;7540;04;59
HH;7540;04;0
FF;7547;04;0
HF;7547;04;43
HH;7547;04;1
FF;7564;04;5
HF;7564;04;73
HH;7564;04;3
FF;7579;04;2
HF;7579;04;32
HH;7579;04;0
FF;7586;04;1
HF;7586;04;58
HH;7586;04;1
FF;7587;04;2
HF;7587;04;34
HH;7587;04;0
FF;7609;04;0
HF;7609;04;16
HH;7609;04;0
FF;7611;04;1
HF;7611;04;58
HH;7611;04;0
FF;7612;04;0
HF;7612;04;30
HH;7612;04;0
FF;7630;04;4
HF;7630;04;123
HH;7630;04;1
FF;7631;04;5
HF;7631;04;231
HH;7631;04;0
FF;7632;04;0
HF;7632;04;25
HH;7632;04;1
FF;7634;04;7
HF;7634;04;201
HH;7634;04;2
FF;7646;04;0
HF;7646;04;32
HH;7646;04;0
FF;7648;04;0
HF;7648;04;8
HH;7648;04;0
FF;7665;04;0
HF;7665;04;41
HH;7665;04;0
FF;7666;04;2
HF;7666;04;75
HH;7666;04;0
FF;7681;04;1
HF;7681;04;40
HH;7681;04;0
FF;7682;04;1
HF;7682;04;36
HH;7682;04;0
FF;8401;04;0
HF;8401;04;112
HH;8401;04;1
FF;8403;04;1
HF;8403;04;38
HH;8403;04;1
FF;8407;04;1
HF;8407;04;58
HH;8407;04;0
FF;8415;04;1
HF;8415;04;14
HH;8415;04;0
FF;8426;04;2
HF;8426;04;88
HH;8426;04;1
FF;8438;04;4
HF;8438;04;227
HH;8438;04;4
FF;8442;04;2
HF;8442;04;142
HH;8442;04;0
FF;8443;04;0
HF;8443;04;21
HH;8443;04;1
FF;8463;04;3
HF;8463;04;77
HH;8463;04;1
FF;8469;04;9
HF;8469;04;391
HH;8469;04;7
FF;8473;04;0
HF;8473;04;82
HH;8473;04;0
FF;8474;04;1
HF;8474;04;160
HH;8474;04;2
FF;9304;04;0
HF;9304;04;22
HH;9304;04;1
FF;9305;04;0
HF;9305;04;22
HH;9305;04;0
FF;9306;04;3
HF;9306;04;177
HH;9306;04;3
FF;9313;04;6
HF;9313;04;380
HH;9313;04;4
FF;9383;04;5
HF;9383;04;206
HH;9383;04;1
FF;9384;04;1
HF;9384;04;114
HH;9384;04;1
FF;942A;04;0
HF;942A;04;11
HH;942A;04;1
FF;942B;04;0
HF;942B;04;38
HH;942B;04;0
FF;971;04;0
HF;971;04;43
HH;971;04;0
FF;972;04;0
HF;972;04;70
HH;972;04;0
FF;973;04;0
HF;973;04;50
HH;973;04;0
FF;974;04;2
HF;974;04;190
HH;974;04;0
FF;976;04;0
HF;976;04;20
HH;976;04;0
FF;1175;05;12
HF;1175;05;752
HH;1175;05;36
FF;1177;05;9
HF;1177;05;434
HH;1177;05;4
FF;1178;05;7
HF;1178;05;466
HH;1178;05;3
FF;1191;05;6
HF;1191;05;410
HH;1191;05;0
FF;1192;05;5
HF;1192;05;526
HH;1192;05;6
FF;1193;05;4
HF;1193;05;453
HH;1193;05;5
FF;1194;05;8
HF;1194;05;454
HH;1194;05;9
FF;1195;05;3
HF;1195;05;428
HH;1195;05;0
FF;2418;05;2
HF;2418;05;71
HH;2418;05;1
FF;2428;05;0
HF;2428;05;114
HH;2428;05;3
FF;2436;05;1
HF;2436;05;58
HH;2436;05;0
FF;2437;05;5
HF;2437;05;156
HH;2437;05;3
FF;2441;05;0
HF;2441;05;83
HH;2441;05;1
FF;2445;05;3
HF;2445;05;198
HH;2445;05;1
FF;2721;05;2
HF;2721;05;153
HH;2721;05;3
FF;2725;05;0
HF;2725;05;140
HH;2725;05;2
FF;2739;05;0
HF;2739;05;58
HH;2739;05;0
FF;2758;05;2
HF;2758;05;49
HH;2758;05;1
FF;2770;05;0
HF;2770;05;67
HH;2770;05;1
FF;2771;05;2
HF;2771;05;133
HH;2771;05;1
FF;2789;05;0
HF;2789;05;85
HH;2789;05;2
FF;2790;05;0
HF;2790;05;51
HH;2790;05;0
FF;2814;05;6
HF;2814;05;195
HH;2814;05;3
FF;2827;05;4
HF;2827;05;225
HH;2827;05;2
FF;2850;05;2
HF;2850;05;126
HH;2850;05;1
FF;2861;05;1
HF;2861;05;72
HH;2861;05;0
FF;2876;05;12
HF;2876;05;352
HH;2876;05;5
FF;3202;05;3
HF;3202;05;115
HH;3202;05;0
FF;3259;05;10
HF;3259;05;780
HH;3259;05;7
FF;3260;05;2
HF;3260;05;213
HH;3260;05;3
FF;3262;05;14
HF;3262;05;403
HH;3262;05;5
FF;3280;05;1
HF;3280;05;127
HH;3280;05;4
FF;4408;05;1
HF;4408;05;69
HH;4408;05;0
FF;4410;05;1
HF;4410;05;83
HH;4410;05;0
FF;4451;05;3
HF;4451;05;165
HH;4451;05;1
FF;4452;05;0
HF;4452;05;51
HH;4452;05;0
FF;4454;05;3
HF;4454;05;203
HH;4454;05;3
FF;4455;05;0
HF;4455;05;51
HH;4455;05;0
FF;4457;05;4
HF;4457;05;316
HH;4457;05;2
FF;4467;05;6
HF;4467;05;378
HH;4467;05;3
FF;4468;05;0
HF;4468;05;243
HH;4468;05;2
FF;4488;05;1
HF;4488;05;98
HH;4488;05;0
FF;5244;05;10
HF;5244;05;473
HH;5244;05;6
FF;5249;05;4
HF;5249;05;245
HH;5249;05;2
FF;5253;05;1
HF;5253;05;89
HH;5253;05;0
FF;5272;05;5
HF;5272;05;136
HH;5272;05;0
FF;5285;05;7
HF;5285;05;267
HH;5285;05;5
FF;5322;05;8
HF;5322;05;180
HH;5322;05;2
FF;5329;05;5
HF;5329;05;264
HH;5329;05;2
FF;5335;05;10
HF;5335;05;265
HH;5335;05;4
FF;5356;05;4
HF;5356;05;275
HH;5356;05;2
FF;7516;05;2
HF;7516;05;87
HH;7516;05;0
FF;7517;05;9
HF;7517;05;204
HH;7517;05;1
FF;7519;05;3
HF;7519;05;61
HH;7519;05;1
FF;7523;05;0
HF;7523;05;14
HH;7523;05;0
FF;7524;05;2
HF;7524;05;111
HH;7524;05;4
FF;7533;05;11
HF;7533;05;526
HH;7533;05;9
FF;7540;05;4
HF;7540;05;110
HH;7540;05;0
FF;7547;05;0
HF;7547;05;80
HH;7547;05;1
FF;7564;05;5
HF;7564;05;149
HH;7564;05;2
FF;7579;05;2
HF;7579;05;77
HH;7579;05;2
FF;7586;05;1
HF;7586;05;110
HH;7586;05;0
FF;7587;05;1
HF;7587;05;71
