TYPMAR;REGDEP_MAR;SEXE;ETAMAT;NBMARIES
HH-FF;7632;F;1;20
HF;7634;F;1;3075
HH-FF;7634;F;1;177
HF;7646;F;1;433
HH-FF;7646;F;1;17
HF;7648;F;1;145
HH-FF;7648;F;1;9
HF;7665;F;1;482
HH-FF;7665;F;1;24
HF;7666;F;1;1202
HH-FF;7666;F;1;61
HF;7681;F;1;867
HH-FF;7681;F;1;46
HF;7682;F;1;662
HH-FF;7682;F;1;31
HF;8401;F;1;1757
HH-FF;8401;F;1;53
HF;8403;F;1;769
HH-FF;8403;F;1;21
HF;8407;F;1;868
HH-FF;8407;F;1;34
HF;8415;F;1;308
HH-FF;8415;F;1;13
HF;8426;F;1;1546
HH-FF;8426;F;1;64
HF;8438;F;1;3536
HH-FF;8438;F;1;124
HF;8442;F;1;2008
HH-FF;8442;F;1;53
HF;8443;F;1;562
HH-FF;8443;F;1;10
HF;8463;F;1;1497
HH-FF;8463;F;1;61
HF;8469;F;1;5360
HH-FF;8469;F;1;206
HF;8473;F;1;1184
HH-FF;8473;F;1;46
HF;8474;F;1;2401
HH-FF;8474;F;1;87
HF;9304;F;1;434
HH-FF;9304;F;1;19
HF;9305;F;1;378
HH-FF;9305;F;1;21
HF;9306;F;1;2994
HH-FF;9306;F;1;102
HF;9313;F;1;5910
HH-FF;9313;F;1;181
HF;9383;F;1;3081
HH-FF;9383;F;1;132
HF;9384;F;1;1722
HH-FF;9384;F;1;59
HF;942A;F;1;439
HH-FF;942A;F;1;9
HF;942B;F;1;450
HH-FF;942B;F;1;13
HF;971;F;1;779
HH-FF;971;F;1;10
HF;972;F;1;890
HH-FF;972;F;1;6
HF;973;F;1;551
HH-FF;973;F;1;6
HF;974;F;1;2583
HH-FF;974;F;1;53
HF;976;F;1;309
HH-FF;976;F;1;0
HF;1175;H;1;6637
HH-FF;1175;H;1;753
HF;1177;H;1;4046
HH-FF;1177;H;1;89
HF;1178;H;1;3884
HH-FF;1178;H;1;63
HF;1191;H;1;3537
HH-FF;1191;H;1;49
HF;1192;H;1;4718
HH-FF;1192;H;1;135
HF;1193;H;1;4389
HH-FF;1193;H;1;86
HF;1194;H;1;3908
HH-FF;1194;H;1;99
HF;1195;H;1;3769
HH-FF;1195;H;1;46
HF;2418;H;1;683
HH-FF;2418;H;1;17
HF;2428;H;1;1056
HH-FF;2428;H;1;22
HF;2436;H;1;471
HH-FF;2436;H;1;13
HF;2437;H;1;1510
HH-FF;2437;H;1;51
HF;2441;H;1;799
HH-FF;2441;H;1;12
HF;2445;H;1;1724
HH-FF;2445;H;1;49
HF;2721;H;1;1306
HH-FF;2721;H;1;38
HF;2725;H;1;1344
HH-FF;2725;H;1;33
HF;2739;H;1;633
HH-FF;2739;H;1;14
HF;2758;H;1;454
HH-FF;2758;H;1;19
HF;2770;H;1;532
HH-FF;2770;H;1;20
HF;2771;H;1;1306
HH-FF;2771;H;1;29
HF;2789;H;1;810
HH-FF;2789;H;1;27
HF;2790;H;1;405
HH-FF;2790;H;1;6
HF;2814;H;1;1830
HH-FF;2814;H;1;66
HF;2827;H;1;1583
HH-FF;2827;H;1;55
HF;2850;H;1;1151
HH-FF;2850;H;1;53
HF;2861;H;1;642
HH-FF;2861;H;1;36
HF;2876;H;1;3141
HH-FF;2876;H;1;99
HF;3202;H;1;1157
HH-FF;3202;H;1;19
HF;3259;H;1;6864
HH-FF;3259;H;1;186
HF;3260;H;1;1946
HH-FF;3260;H;1;40
HF;3262;H;1;3587
HH-FF;3262;H;1;109
HF;3280;H;1;1196
HH-FF;3280;H;1;25
HF;4408;H;1;555
HH-FF;4408;H;1;16
HF;4410;H;1;695
HH-FF;4410;H;1;12
HF;4451;H;1;1357
HH-FF;4451;H;1;22
HF;4452;H;1;363
HH-FF;4452;H;1;8
HF;4454;H;1;1776
HH-FF;4454;H;1;49
HF;4455;H;1;398
HH-FF;4455;H;1;6
HF;4457;H;1;2790
HH-FF;4457;H;1;43
HF;4467;H;1;3221
HH-FF;4467;H;1;48
HF;4468;H;1;2091
HH-FF;4468;H;1;37
HF;4488;H;1;797
HH-FF;4488;H;1;15
HF;5244;H;1;3745
HH-FF;5244;H;1;146
HF;5249;H;1;2155
HH-FF;5249;H;1;40
HF;5253;H;1;736
HH-FF;5253;H;1;9
HF;5272;H;1;1300
HH-FF;5272;H;1;45
HF;5285;H;1;1829
HH-FF;5285;H;1;63
HF;5322;H;1;1384
HH-FF;5322;H;1;27
HF;5329;H;1;2154
HH-FF;5329;H;1;54
HF;5335;H;1;2554
HH-FF;5335;H;1;74
HF;5356;H;1;1954
HH-FF;5356;H;1;43
HF;7516;H;1;820
HH-FF;7516;H;1;35
HF;7517;H;1;1597
HH-FF;7517;H;1;68
HF;7519;H;1;518
HH-FF;7519;H;1;23
HF;7523;H;1;210
HH-FF;7523;H;1;3
HF;7524;H;1;987
HH-FF;7524;H;1;31
HF;7533;H;1;4207
HH-FF;7533;H;1;160
HF;7540;H;1;1021
HH-FF;7540;H;1;20
HF;7547;H;1;735
HH-FF;7547;H;1;19
HF;7564;H;1;1488
HH-FF;7564;H;1;60
HF;7579;H;1;728
HH-FF;7579;H;1;15
HF;7586;H;1;884
HH-FF;7586;H;1;24
HF;7587;H;1;754
HH-FF;7587;H;1;32
HF;7609;H;1;354
HH-FF;7609;H;1;19
HF;7611;H;1;916
HH-FF;7611;H;1;22
HF;7612;H;1;652
HH-FF;7612;H;1;23
HF;7630;H;1;2096
HH-FF;7630;H;1;85
HF;7631;H;1;3431
HH-FF;7631;H;1;135
HF;7632;H;1;462
HH-FF;7632;H;1;17
HF;7634;H;1;3055
HH-FF;7634;H;1;134
HF;7646;H;1;423
HH-FF;7646;H;1;10
HF;7648;H;1;148
HH-FF;7648;H;1;1
HF;7665;H;1;465
HH-FF;7665;H;1;11
HF;7666;H;1;1154
HH-FF;7666;H;1;63
HF;7681;H;1;872
HH-FF;7681;H;1;21
HF;7682;H;1;663
HH-FF;7682;H;1;18
HF;8401;H;1;1739
HH-FF;8401;H;1;32
HF;8403;H;1;753
HH-FF;8403;H;1;19
HF;8407;H;1;855
HH-FF;8407;H;1;29
HF;8415;H;1;303
HH-FF;8415;H;1;8
HF;8426;H;1;1517
HH-FF;8426;H;1;37
HF;8438;H;1;3513
HH-FF;8438;H;1;78
HF;8442;H;1;1993
HH-FF;8442;H;1;46
HF;8443;H;1;554
HH-FF;8443;H;1;8
HF;8463;H;1;1500
HH-FF;8463;H;1;61
HF;8469;H;1;5325
HH-FF;8469;H;1;155
HF;8473;H;1;1198
HH-FF;8473;H;1;18
HF;8474;H;1;2372
HH-FF;8474;H;1;61
HF;9304;H;1;421
HH-FF;9304;H;1;20
HF;9305;H;1;377
HH-FF;9305;H;1;2
HF;9306;H;1;2935
HH-FF;9306;H;1;136
HF;9313;H;1;5826
HH-FF;9313;H;1;147
HF;9383;H;1;3016
HH-FF;9383;H;1;113
HF;9384;H;1;1714
HH-FF;9384;H;1;38
HF;942A;H;1;420
HH-FF;942A;H;1;8
HF;942B;H;1;454
HH-FF;942B;H;1;2
HF;971;H;1;690
HH-FF;971;H;1;4
HF;972;H;1;819
HH-FF;972;H;1;6
HF;973;H;1;518
HH-FF;973;H;1;6
HF;974;H;1;2519
HH-FF;974;H;1;32
HF;976;H;1;302
HH-FF;976;H;1;4
HF;1175;F;3;45
HH-FF;1175;F;3;0
HF;1177;F;3;31
HH-FF;1177;F;3;0
HF;1178;F;3;33
HH-FF;1178;F;3;0
HF;1191;F;3;28
HH-FF;1191;F;3;1
HF;1192;F;3;25
HH-FF;1192;F;3;0
HF;1193;F;3;32
HH-FF;1193;F;3;0
HF;1194;F;3;32
HH-FF;1194;F;3;0
HF;1195;F;3;27
HH-FF;1195;F;3;0
HF;2418;F;3;14
HH-FF;2418;F;3;0
HF;2428;F;3;14
HH-FF;2428;F;3;0
HF;2436;F;3;9
HH-FF;2436;F;3;0
HF;2437;F;3;24
HH-FF;2437;F;3;2
HF;2441;F;3;9
HH-FF;2441;F;3;0
HF;2445;F;3;20
HH-FF;2445;F;3;0
HF;2721;F;3;13
HH-FF;2721;F;3;0
HF;2725;F;3;18
HH-FF;2725;F;3;0
HF;2739;F;3;8
HH-FF;2739;F;3;0
HF;2758;F;3;10
HH-FF;2758;F;3;0
HF;2770;F;3;13
HH-FF;2770;F;3;0
HF;2771;F;3;19
HH-FF;2771;F;3;0
HF;2789;F;3;18
HH-FF;2789;F;3;0
HF;2790;F;3;9
HH-FF;2790;F;3;0
HF;2814;F;3;26
HH-FF;2814;F;3;0
HF;2827;F;3;37
HH-FF;2827;F;3;1
HF;2850;F;3;20
HH-FF;2850;F;3;0
HF;2861;F;3;8
HH-FF;2861;F;3;0
HF;2876;F;3;49
HH-FF;2876;F;3;1
HF;3202;F;3;11
HH-FF;3202;F;3;0
HF;3259;F;3;75
HH-FF;3259;F;3;0
HF;3260;F;3;25
HH-FF;3260;F;3;0
HF;3262;F;3;62
HH-FF;3262;F;3;0
HF;3280;F;3;19
HH-FF;3280;F;3;0
HF;4408;F;3;10
HH-FF;4408;F;3;0
HF;4410;F;3;6
HH-FF;4410;F;3;0
HF;4451;F;3;17
HH-FF;4451;F;3;1
HF;4452;F;3;4
HH-FF;4452;F;3;0
HF;4454;F;3;24
HH-FF;4454;F;3;0
HF;4455;F;3;4
HH-FF;4455;F;3;0
HF;4457;F;3;30
HH-FF;4457;F;3;0
HF;4467;F;3;35
HH-FF;4467;F;3;0
HF;4468;F;3;25
HH-FF;4468;F;3;0
HF;4488;F;3;14
HH-FF;4488;F;3;0
HF;5244;F;3;48
HH-FF;5244;F;3;1
HF;5249;F;3;26
HH-FF;5249;F;3;0
HF;5253;F;3;13
HH-FF;5253;F;3;0
HF;5272;F;3;17
HH-FF;5272;F;3;0
HF;5285;F;3;35
HH-FF;5285;F;3;0
HF;5322;F;3;20
HH-FF;5322;F;3;0
HF;5329;F;3;36
HH-FF;5329;F;3;1
HF;5335;F;3;33
HH-FF;5335;F;3;0
HF;5356;F;3;34
HH-FF;5356;F;3;0
HF;7516;F;3;11
HH-FF;7516;F;3;0
HF;7517;F;3;32
HH-FF;7517;F;3;0
HF;7519;F;3;10
HH-FF;7519;F;3;1
HF;7523;F;3;5
HH-FF;7523;F;3;0
HF;7524;F;3;13
HH-FF;7524;F;3;1
HF;7533;F;3;55
HH-FF;7533;F;3;0
HF;7540;F;3;21
HH-FF;7540;F;3;0
HF;7547;F;3;13
HH-FF;7547;F;3;0
HF;7564;F;3;21
HH-FF;7564;F;3;0
HF;7579;F;3;11
HH-FF;7579;F;3;0
HF;7586;F;3;17
HH-FF;7586;F;3;0
HF;7587;F;3;12
HH-FF;7587;F;3;0
HF;7609;F;3;5
HH-FF;7609;F;3;0
HF;7611;F;3;12
HH-FF;7611;F;3;0
HF;7612;F;3;5
HH-FF;7612;F;3;0
HF;7630;F;3;35
HH-FF;7630;F;3;0
HF;7631;F;3;27
HH-FF;7631;F;3;0
HF;7632;F;3;5
HH-FF;7632;F;3;1
HF;7634;F;3;35
HH-FF;7634;F;3;2
HF;7646;F;3;7
HH-FF;7646;F;3;0
HF;7648;F;3;2
HH-FF;7648;F;3;0
HF;7665;F;3;5
HH-FF;7665;F;3;0
HF;7666;F;3;25
HH-FF;7666;F;3;0
HF;7681;F;3;15
HH-FF;7681;F;3;1
HF;7682;F;3;10
HH-FF;7682;F;3;0
HF;8401;F;3;18
HH-FF;8401;F;3;1
HF;8403;F;3;8
HH-FF;8403;F;3;0
HF;8407;F;3;8
HH-FF;8407;F;3;0
HF;8415;F;3;2
HH-FF;8415;F;3;0
HF;8426;F;3;24
HH-FF;8426;F;3;0
HF;8438;F;3;29
HH-FF;8438;F;3;0
HF;8442;F;3;21
HH-FF;8442;F;3;0
HF;8443;F;3;10
HH-FF;8443;F;3;0
HF;8463;F;3;13
HH-FF;8463;F;3;0
HF;8469;F;3;34
HH-FF;8469;F;3;0
HF;8473;F;3;12
HH-FF;8473;F;3;0
HF;8474;F;3;21
HH-FF;8474;F;3;0
HF;9304;F;3;7
HH-FF;9304;F;3;0
HF;9305;F;3;4
HH-FF;9305;F;3;0
HF;9306;F;3;45
HH-FF;9306;F;3;0
HF;9313;F;3;53
HH-FF;9313;F;3;1
HF;9383;F;3;60
HH-FF;9383;F;3;1
HF;9384;F;3;14
HH-FF;9384;F;3;0
HF;942A;F;3;4
HH-FF;942A;F;3;0
HF;942B;F;3;1
HH-FF;942B;F;3;0
HF;971;F;3;8
HH-FF;971;F;3;0
HF;972;F;3;14
HH-FF;972;F;3;0
HF;973;F;3;4
HH-FF;973;F;3;0
HF;974;F;3;19
HH-FF;974;F;3;0
HF;976;F;3;2
HH-FF;976;F;3;0
HF;1175;H;3;58
HH-FF;1175;H;3;4
HF;1177;H;3;38
HH-FF;1177;H;3;0
HF;1178;H;3;39
HH-FF;1178;H;3;1
HF;1191;H;3;30
HH-FF;1191;H;3;0
HF;1192;H;3;26
HH-FF;1192;H;3;0
HF;1193;H;3;47
HH-FF;1193;H;3;0
HF;1194;H;3;32
HH-FF;1194;H;3;0
HF;1195;H;3;37
HH-FF;1195;H;3;0
HF;2418;H;3;11
HH-FF;2418;H;3;0
HF;2428;H;3;20
HH-FF;2428;H;3;0
HF;2436;H;3;10
HH-FF;2436;H;3;0
HF;2437;H;3;22
HH-FF;2437;H;3;1
HF;2441;H;3;12
HH-FF;2441;H;3;0
HF;2445;H;3;16
HH-FF;2445;H;3;0
HF;2721;H;3;14
HH-FF;2721;H;3;0
HF;2725;H;3;12
HH-FF;2725;H;3;0
HF;2739;H;3;10
HH-FF;2739;H;3;0
HF;2758;H;3;9
HH-FF;2758;H;3;0
HF;2770;H;3;20
HH-FF;2770;H;3;0
HF;2771;H;3;22
HH-FF;2771;H;3;0
HF;2789;H;3;12
HH-FF;2789;H;3;0
HF;2790;H;3;6
HH-FF;2790;H;3;0
HF;2814;H;3;30
HH-FF;2814;H;3;1
HF;2827;H;3;26
HH-FF;2827;H;3;0
HF;2850;H;3;10
HH-FF;2850;H;3;0
HF;2861;H;3;8
HH-FF;2861;H;3;1
HF;2876;H;3;38
HH-FF;2876;H;3;0
HF;3202;H;3;21
HH-FF;3202;H;3;0
HF;3259;H;3;68
HH-FF;3259;H;3;0
HF;3260;H;3;15
HH-FF;3260;H;3;0
HF;3262;H;3;37
HH-FF;3262;H;3;0
HF;3280;H;3;17
HH-FF;3280;H;3;0
HF;4408;H;3;7
HH-FF;4408;H;3;0
HF;4410;H;3;8
HH-FF;4410;H;3;0
HF;4451;H;3;17
HH-FF;4451;H;3;0
HF;4452;H;3;4
HH-FF;4452;H;3;0
HF;4454;H;3;14
HH-FF;4454;H;3;0
HF;4455;H;3;8
HH-FF;4455;H;3;0
HF;4457;H;3;35
HH-FF;4457;H;3;0
HF;4467;H;3;53
HH-FF;4467;H;3;1
HF;4468;H;3;36
HH-FF;4468;H;3;0
HF;4488;H;3;18
HH-FF;4488;H;3;0
HF;5244;H;3;57
HH-FF;5244;H;3;0
HF;5249;H;3;23
HH-FF;5249;H;3;0
HF;5253;H;3;5
HH-FF;5253;H;3;0
HF;5272;H;3;20
HH-FF;5272;H;3;0
HF;5285;H;3;33
HH-FF;5285;H;3;1
HF;5322;H;3;28
HH-FF;5322;H;3;1
HF;5329;H;3;29
HH-FF;5329;H;3;0
HF;5335;H;3;28
HH-FF;5335;H;3;0
HF;5356;H;3;34
HH-FF;5356;H;3;0
HF;7516;H;3;11
HH-FF;7516;H;3;0
HF;7517;H;3;29
HH-FF;7517;H;3;2
HF;7519;H;3;7
HH-FF;7519;H;3;0
HF;7523;H;3;3
HH-FF;7523;H;3;0
HF;7524;H;3;22
HH-FF;7524;H;3;0
HF;7533;H;3;54
HH-FF;7533;H;3;1
HF;7540;H;3;15
HH-FF;7540;H;3;0
HF;7547;H;3;20
HH-FF;7547;H;3;0
HF;7564;H;3;25
HH-FF;7564;H;3;3
HF;7579;H;3;13
HH-FF;7579;H;3;0
HF;7586;H;3;10
HH-FF;7586;H;3;1
HF;7587;H;3;11
HH-FF;7587;H;3;1
HF;7609;H;3;4
HH-FF;7609;H;3;0
HF;7611;H;3;21
HH-FF;7611;H;3;0
HF;7612;H;3;8
HH-FF;7612;H;3;1
HF;7630;H;3;32
HH-FF;7630;H;3;0
HF;7631;H;3;31
HH-FF;7631;H;3;0
HF;7632;H;3;5
HH-FF;7632;H;3;0
HF;7634;H;3;49
HH-FF;7634;H;3;1
HF;7646;H;3;5
HH-FF;7646;H;3;0
HF;7648;H;3;1
HH-FF;7648;H;3;0
HF;7665;H;3;15
HH-FF;7665;H;3;0
HF;7666;H;3;29
HH-FF;7666;H;3;0
HF;7681;H;3;13
HH-FF;7681;H;3;0
HF;7682;H;3;7
HH-FF;7682;H;3;0
HF;8401;H;3;16
HH-FF;8401;H;3;1
HF;8403;H;3;8
HH-FF;8403;H;3;0
HF;8407;H;3;17
HH-FF;8407;H;3;0
HF;8415;H;3;4
HH-FF;8415;H;3;0
HF;8426;H;3;31
HH-FF;8426;H;3;1
HF;8438;H;3;31
HH-FF;8438;H;3;0
HF;8442;H;3;13
HH-FF;8442;H;3;0
HF;8443;H;3;3
HH-FF;8443;H;3;0
HF;8463;H;3;17
HH-FF;8463;H;3;0
HF;8469;H;3;43
HH-FF;8469;H;3;0
HF;8473;H;3;9
HH-FF;8473;H;3;0
HF;8474;H;3;20
HH-FF;8474;H;3;0
HF;9304;H;3;7
HH-FF;9304;H;3;0
HF;9305;H;3;4
HH-FF;9305;H;3;0
HF;9306;H;3;49
HH-FF;9306;H;3;0
HF;9313;H;3;72
HH-FF;9313;H;3;2
HF;9383;H;3;58
HH-FF;9383;H;3;0
HF;9384;H;3;22
HH-FF;9384;H;3;0
HF;942A;H;3;8
HH-FF;942A;H;3;0
HF;942B;H;3;3
HH-FF;942B;H;3;0
HF;971;H;3;17
HH-FF;971;H;3;0
HF;972;H;3;25
HH-FF;972;H;3;0
HF;973;H;3;7
HH-FF;973;H;3;0
HF;974;H;3;18
HH-FF;974;H;3;0
HF;976;H;3;2
HH-FF;976;H;3;0
HF;1175;F;4;810
HH-FF;1175;F;4;23
HF;1177;F;4;692
HH-FF;1177;F;4;14
HF;1178;F;4;697
HH-FF;1178;F;4;9
HF;1191;F;4;565
HH-FF;1191;F;4;11
HF;1192;F;4;657
HH-FF;1192;F;4;9
HF;1193;F;4;671
HH-FF;1193;F;4;6
HF;1194;F;4;582
HH-FF;1194;F;4;5
HF;1195;F;4;558
HH-FF;1195;F;4;5
HF;2418;F;4;167
HH-FF;2418;F;4;2
HF;2428;F;4;207
HH-FF;2428;F;4;0
HF;2436;F;4;101
HH-FF;2436;F;4;2
HF;2437;F;4;313
HH-FF;2437;F;4;7
HF;2441;F;4;168
HH-FF;2441;F;4;2
HF;2445;F;4;331
HH-FF;2445;F;4;4
HF;2721;F;4;283
HH-FF;2721;F;4;5
HF;2725;F;4;275
HH-FF;2725;F;4;5
HF;2739;F;4;145
HH-FF;2739;F;4;5
HF;2758;F;4;105
HH-FF;2758;F;4;1
HF;2770;F;4;133
HH-FF;2770;F;4;2
HF;2771;F;4;275
HH-FF;2771;F;4;8
HF;2789;F;4;185
HH-FF;2789;F;4;3
HF;2790;F;4;74
HH-FF;2790;F;4;1
HF;2814;F;4;327
HH-FF;2814;F;4;6
HF;2827;F;4;377
HH-FF;2827;F;4;3
HF;2850;F;4;230
HH-FF;2850;F;4;5
HF;2861;F;4;132
HH-FF;2861;F;4;3
HF;2876;F;4;671
HH-FF;2876;F;4;10
HF;3202;F;4;274
HH-FF;3202;F;4;7
HF;3259;F;4;1394
HH-FF;3259;F;4;29
HF;3260;F;4;399
HH-FF;3260;F;4;9
HF;3262;F;4;815
HH-FF;3262;F;4;14
HF;3280;F;4;292
HH-FF;3280;F;4;3
HF;4408;F;4;129
HH-FF;4408;F;4;0
HF;4410;F;4;144
HH-FF;4410;F;4;2
HF;4451;F;4;285
HH-FF;4451;F;4;2
HF;4452;F;4;82
HH-FF;4452;F;4;1
HF;4454;F;4;425
HH-FF;4454;F;4;3
HF;4455;F;4;97
HH-FF;4455;F;4;1
HF;4457;F;4;655
HH-FF;4457;F;4;12
HF;4467;F;4;689
HH-FF;4467;F;4;10
HF;4468;F;4;513
HH-FF;4468;F;4;7
HF;4488;F;4;186
HH-FF;4488;F;4;0
HF;5244;F;4;694
HH-FF;5244;F;4;13
HF;5249;F;4;330
HH-FF;5249;F;4;5
HF;5253;F;4;133
HH-FF;5253;F;4;2
HF;5272;F;4;217
HH-FF;5272;F;4;7
HF;5285;F;4;368
HH-FF;5285;F;4;9
HF;5322;F;4;297
HH-FF;5322;F;4;6
HF;5329;F;4;438
HH-FF;5329;F;4;11
HF;5335;F;4;382
HH-FF;5335;F;4;15
HF;5356;F;4;369
HH-FF;5356;F;4;7
HF;7516;F;4;232
HH-FF;7516;F;4;5
HF;7517;F;4;467
HH-FF;7517;F;4;13
HF;7519;F;4;133
HH-FF;7519;F;4;0
HF;7523;F;4;51
HH-FF;7523;F;4;5
HF;7524;F;4;289
HH-FF;7524;F;4;12
HF;7533;F;4;1032
HH-FF;7533;F;4;29
HF;7540;F;4;297
HH-FF;7540;F;4;4
HF;7547;F;4;204
HH-FF;7547;F;4;4
HF;7564;F;4;332
HH-FF;7564;F;4;10
HF;7579;F;4;161
HH-FF;7579;F;4;5
HF;7586;F;4;185
HH-FF;7586;F;4;7
HF;7587;F;4;165
HH-FF;7587;F;4;6
HF;7609;F;4;98
HH-FF;7609;F;4;7
HF;7611;F;4;274
HH-FF;7611;F;4;4
HF;7612;F;4;128
HH-FF;7612;F;4;7
HF;7630;F;4;560
HH-FF;7630;F;4;6
HF;7631;F;4;647
HH-FF;7631;F;4;19
HF;7632;F;4;119
HH-FF;7632;F;4;1
HF;7634;F;4;792
HH-FF;7634;F;4;27
HF;7646;F;4;112
HH-FF;7646;F;4;1
HF;7648;F;4;31
HH-FF;7648;F;4;3
HF;7665;F;4;120
HH-FF;7665;F;4;4
HF;7666;F;4;331
HH-FF;7666;F;4;7
HF;7681;F;4;220
HH-FF;7681;F;4;7
HF;7682;F;4;160
HH-FF;7682;F;4;5
HF;8401;F;4;354
HH-FF;8401;F;4;14
HF;8403;F;4;184
HH-FF;8403;F;4;5
HF;8407;F;4;188
HH-FF;8407;F;4;6
HF;8415;F;4;47
HH-FF;8415;F;4;1
HF;8426;F;4;346
HH-FF;8426;F;4;8
HF;8438;F;4;628
HH-FF;8438;F;4;24
HF;8442;F;4;354
HH-FF;8442;F;4;1
HF;8443;F;4;104
HH-FF;8443;F;4;2
HF;8463;F;4;327
HH-FF;8463;F;4;9
HF;8469;F;4;839
HH-FF;8469;F;4;12
HF;8473;F;4;244
HH-FF;8473;F;4;0
HF;8474;F;4;453
HH-FF;8474;F;4;15
HF;9304;F;4;103
HH-FF;9304;F;4;3
HF;9305;F;4;102
HH-FF;9305;F;4;1
HF;9306;F;4;750
HH-FF;9306;F;4;12
HF;9313;F;4;1349
HH-FF;9313;F;4;28
HF;9383;F;4;891
HH-FF;9383;F;4;21
HF;9384;F;4;422
HH-FF;9384;F;4;9
HF;942A;F;4;82
HH-FF;942A;F;4;1
HF;942B;F;4;124
HH-FF;942B;F;4;3
HF;971;F;4;131
HH-FF;971;F;4;0
HF;972;F;4;141
HH-FF;972;F;4;0
HF;973;F;4;58
HH-FF;973;F;4;0
HF;974;F;4;355
HH-FF;974;F;4;5
HF;976;F;4;23
HH-FF;976;F;4;0
HF;1175;H;4;963
HH-FF;1175;H;4;35
HF;1177;H;4;751
HH-FF;1177;H;4;11
HF;1178;H;4;761
HH-FF;1178;H;4;12
HF;1191;H;4;579
HH-FF;1191;H;4;3
HF;1192;H;4;758
HH-FF;1192;H;4;15
HF;1193;H;4;667
HH-FF;1193;H;4;6
HF;1194;H;4;660
HH-FF;1194;H;4;7
HF;1195;H;4;609
HH-FF;1195;H;4;2
